,Wilaya,Lat,Lon,Ph,Calcaire Total,Matiere Organique (MO),Capacite d'echange Cationique (CEC),Conductivite electrique (CE),Densite Apparente (Da),Depth
835,,32.3667,3.6667,"[7.84, 8.37]","[13, 25]",,"[12, 16]","[1, 21]",,
836,,32.47,3.68,8.04903,25.39021,1.83,2.65925,2.65925,35.72387,25-75 cm
837,,33.45,7.33,7.32,21.15,1.21,23.45,2.11,1.38,0-20 cm
838,Tamanrasset,22.7833,5.5333,7.5,35.1,1.85,21.4,0.35,1.45,0-20
839,,36.8833,4.05,0,0,0,0,0,0,not mentioned
841,Ain Defla,36.2333,2.15,,,,,1.28-2.02 dS/m,,
843,Relizane,35.73,0.55,,,,,7.55,,
844,Batna,35.55,6.17,,,,,,,
847,Relizane,,,8.5,,,,15,,15 cm
849,Mostaganem,35.9333,0.1333,,,,15.14,,,
851,Medea,,,8.5,,,,63,,150cm
852,,35.2833,1.1333,7.8,20.1,0.8,34.3,0.35,1.63,38-60cm
853,Tiaret,35.38,1.78,7.25,33.45,17.74,16.21,100,1.59,Cgnz1
854,Chlef,35.96275,0.74922,,,,,30-143,,0-150 cm
856,Mostaganem,35.9333,0.1333,7.76,34.62,30.31,31.92,37.23,5.5, Profile 3
857,Relizane,,,8.5>pH>3.5,16.5,Not provided,Not provided,47 dS/m,Not provided,133 cm
858,,33.683333,1.633333,7.8,24,1.4,26.53,1.54,1.33,0-30 cm
859,,36.263277,2.165309,7.81,,,,33,,1.5m
861,Batna,35.55,6.16,,,,,,,
862,Tiaret,35.3833,1.8333,8.4,21.5,2.5,24.5,1.45,1.55,0-20 cm
863,Tiaret,,,,,,,,,
864,Tiaret,35.3775,1.3214,7.8,15.2,1.2,14.5,0.12,1.55,0-20 cm
865,Tiaret,35.36,1.45,7.5,20.5,1.7,24.1,0.35,1.45,0-20 cm
867,Tiaret,,,7.6,0,0.2,9,0.12,,00-20 cm
869,Relizane,35.7333,0.55,8.2,45,3.25,19.32,0.25,,00-20cm
870,Setif,,,8,15,0,0,0,0,0-60cm
871,Tlemcen,34.8913,1.3181,7.8,27.8,13.3,46.7,38.3,22.7,20-30 cm
872,,36.7167,4.05,7.4,1.4,3.7,24.6,0.42,1.4,0-20 cm
873,,36.7167,4.05,7.5,18,3.2,20.5,0.12,1.45,0-20 cm
874,Tiaret,,,,,,,,,
875,Tiaret,,,-,-,-,> 24 cmole/kg,-,-,-
877,Oran,,,,,,,,,
878,Oran,,,not provided,not provided,not provided,not provided,not provided,not provided,not provided
879,Oran,35.6938,,,,,,,,
880,Oran,35.6882,,7.6,24.8,1.4,21.3,0.42,1.35,0-30 cm
881,Oran,35.68,-0.63,7.8,23.4,1.2,12.5,0.15,1.65,0-20 cm
882,Oran,35.63,-0.62,7.5,28.5,1.2,14.1,0.25,1.35,0-30 cm
883,Oran,35.6924,,,,,,,,
884,Oran,,,,,,,,,
885,Oran,35.6667,-0.6167,8.1,35.5,2.2,24.5,0.45,1.33,0-30 cm
886,Oran,,,,,,,,,
887,Oran,35.69,0.64,8.5,20.5,1.8,35.6,0.42,1.35,0-30
888,Oran,35.6333,0.6333,8.2,24.5,1.2,14.5,1.1,1.4,0-30
889,Oran,35.6389,-0.6222,8.1,35.6,1.82,15.3,1.4,1.45,0-30 cm
890,Oran,35.6333,-0.6333,8.4,34,1.2,20,0.45,1.4,0-30 cm
891,,35.6389,-0.6222,8.42,14.8,1.92,12.3,0.52,1.38,0-30 cm
892,Oran,35.69,-0.63,7.8,9987,696,309,4504,10569,0-40 cm
893,Oran,,,not provided,not provided,not provided,not provided,not provided,not provided,not provided
894,Oran,31.9463,-8.7943,7.5,20,3.2,15,0.5,1.4,0-20 cm
895,Oran,35.6911,0.6333,7.8,23,2.5,20,0.8,1.4,0-20 cm
896,Ain Temouchent,35.2874,-1.1442,7.38,24.3,1.23,14.5,0.39,1.45,0-30cm
897,Oran,,,,,,,,,
898,Oran,35.64,0.62,8.15,2.95,1.28,13.5,1.35,1.55,0-20 cm
899,Tipaza,36.5833,2.4333,8.2,15.1,1.4,14.5,1.2,1.65,0-20 cm
902,Bordj Bou Arreridj,36.0667,4.7667,7.5,20.3,3.2,15.6,0.8,1.3,20 cm
903,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
905,Tipaza,36.5833,2.45,8.1,12.8,1.4,14.2,0.26,1.5,0-20 cm
906,Mostaganem,35.9333,0.1333,,,18,,,1.5,
907,Wilaya of Mascara,35.3833,0.1333,8.1,23.4,2.5,20.3,0.35,1.6,0-30 cm
909,Djelfa,34.670278,3.283333,8.1,15.4,1.3,12.6,340,1.45,0-20 cm
910,Wilaya of Tiaret,35.3833,1.8,7.5,22.5,8.2,57.1,1.49,1.7,22 e 30 cm
911,Tiaret,35.3833,1.1333,,,,,,1.3,
917,Batna,35.55,6.17,7.42,23.5,2.1,24.8,0.34,1.49,0-30 cm
918,,35.3783,1.3217,8.3,12.3,2.1,14.3,0.3,1.6,0-30 cm
919,Medea,36.25,2.73,7.8,12.4,1.8,14.5,0.35,1.25,20-40 cm
920,Alger,36.7535,3.0425,7.4,24,1.2,32,350,1.4,0-40 cm
923,Tipaza,36.5833,2.45,,,,,,,
924,,36.5333,4.05,7.45,23.1,2.15,23.6,0.32,1.45,0-20 cm
925,Relizane,,,,,,,,,
926,Relizane,35.732278,0.555556,,,,,,,
927,Relizane,35.7333,0.55,7,,0.3,,,,30 cm
928,,36.7167,4.05,7.8,23.5,2.8,12.4,0.24,1.4,15 cm
929,,36.7167,4.05,7.92,7.21,2.55,20.8,1.41,1.64,29 cm
930,Mostaganem,35.95,0.1439,8.2,15.8,22.1,23.2,0.13,1.35,0-20 cm
931,Relizane,,,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned
932,Relizane,,,7.83,31.45,2.15,14.5,0.38,1.45,15cm
933,Tiaret,35.3833,1.1333,8.2,38.4,1.4,23.5,4.2,1.35,0-30 cm
934,Relizane,35.7333,0.55,,,,,,,
935,,36.77,8.33,8.5,21.3,1.4,23.2,2.3,1.5,0-50 cm
936,Relizane,,,,,,,,,
937,Relizane,35.733333,0.566667,8.5,110.74,2.6,1500,4,1.5,1m
938,Relizane,35.73,0.55,8.1,22.4,1.2,12.5,0.8,1.6,0-20 cm
939,Tiaret,35.383333,1.833333,8.2,,,,,,"['0-10', '20-20', '20-40']"
940,Wilaya of Tiaret,35.35,1.833,7.4,15,2.7,12.39,,1.6,1.2
942,Relizane,35.7439,0.5564,7.0,20.0,1.5,20.0,2.0,1.3,0-20 cm
943,,36.7167,4.05,8.3,49,0.44,,,,
944,Tiaret,35.3833,2.45,7.8,28.4,1.2,15.6,0.45,1.6,0-20 cm
945,Tiaret,35.3833,1.8,10,70,,,,,
946,Setif,36.15,5.42,7-8,,< 2%,moyenne e elevee,,,
947,,34.0522,5.4353,8.5,25.6,2.8,30.4,1.2,1.6,20-50 cm
948,Setif,,,,,< 2 %,,,,
949,Setif,,,,,,,,,
951,Setif,36.08535,5.32861,8.7,83,0.5,8.5,1.5,11,45
952,Setif,,,8.5,36-77,< 1,7-12,< 1.5,,
953,Setif,,,,,,,,,
955,Setif,,,8.2,83,1.7,,1,,
956,Sidi Bel Abbes,34.8833,,8.23,45.6,1.43,14.2,0.25,1.43,0-30 cm
958,,35.43,0.33,7.5,15,1.5,20,0.25,1.6,2 e 4 cm
960,Relizane,35.7333,0.55,8.35,12.8,2.43,11.5,1.2,1.35,0-30 cm
962,Mostaganem,35.9333,0.0833,7.2,22.9,3.4,34.6,2.4,1.3,0-20 cm
963,,36.7177,4.05,7.3,26.8,2.5,16.2,0.46,1.3,0-30 cm
964,,36.2619,2.1653,7.8,15.6,2.1,14.8,0.55,1.45,0-20 cm
965,Tipaza,36.5667,2.45,7.78,15.6,2.91,24.4,0.21,1.38,0-30 cm
967,,36.72,4.05,7,10,2,15,0.5,1.5,0-30
968,,36.17,7.574,9,0,0,0,0,0,635m
971,,36.2833,7.95,,,,,,,
973,,36.283333,8.05,,,,,,,
974,Oran,35.6911,0.6333,7.14,23.87,4.28,,0.16,,0-20
975,Oran,35.697,0.6333,0.279,2.122,0.899,1.684,2.629,2.504,
976,Constantine,36.3654,6.6212,7.53,14.5,1.4,12.8,0.65,1.35,0-20 cm
977,Setif,36.1833,5.4167,,,,,,,40 cm
979,Tebessa,35.4,8.1,8.2,13.5,1.4,12.6,0.5,1.3,0-20 cm
980,Oum El Bouaghi,35.876389,7.095278,7.7,175.6,1.93,15.4,0.28,1.62,0-20 cm
981,Setif,36.1833,5.4167,,,,,,,
983,Oum El Bouaghi,35.8777,6.9714,7.3,4275.6,659.0,412.9,67.8,1.37,0-30 cm
984,Batna,35.55,6.18,7.9,25.4,2.5,16.8,1.3,2.1,0-30
985,Batna,35.3,6.15,,,,,,,40 cm
986,Batna,35.5333,6.1667,,,1.29,,,1.11,0-7 cm and 7-15 cm
987,Setif,36.4833,5.4167,7.8,12.5,2.1,20.6,0.6,1.3,0-30 cm
988,Setif,36.1833,5.4,7.8,15.4,1.4,14.5,0.35,1.45,0-30 cm
989,Wilaya of Mostaganem,35.933333,0.133333,7.8,23,2.1,15.6,0.45,1.35,0-30 cm
990,Tiaret,35.3882,1.6333,7.4,25,2.1,20,0.35,1.6,20 cm
991,Tiaret,35.3642,1.3203,7.8,22.5,1.4,10.8,1.2,1.4,90 cm
992,Setif,36.1833,5.4167,7.4,25,1.2,15,0.45,1.5,0-20 cm
993,Setif,,,,,,,,,
994,Setif,36.1833,5.4,7.3,25,2.5,14,0.46,1.45,0-30 cm
995,Guelma,36.4667,7.4333,,,,,,,0-20 cm
996,,36.7167,4.05,7.42,14.1,2.15,23.4,0.39,1.35,e20 cm
997,Relizane,35.733333,0.55,7.5,,3.8,24,,,
998,Tiaret,35.383333,1.833333,7.4,12.6,2.2,20.5,0.45,1.4,0-20 cm
999,Constantine,36.3654,6.6203,"7.94, 7.7, 8.1",,,,"0.144, 0.194, 0.270",,
1000,Tiaret,35.37,2.45,7.2,23.5,2.1,14.5,0.38,1.42,0-30 cm
1001,Setif,36.1833,5.4,7.8,10.2,1.3,14.8,0.53,1.45,0-20 cm
1003,,36.7167,4.05,7.2,13.7,1.9,21.3,220,1.4,0-20 cm
1004,Setif,36.1833,5.4167,,,,,,,
1005,Setif,,,,,39.6,,,,
1006,Setif,36.1833,5.4167,,,,,,,
1008,Setif,,,,,,,,,
1009,Setif,,,,,,,,,
1011,Relizane,35.733333,0.566667,8.1,23,1.4,20.5,0.13,1.4,0-20 cm
1012,Constantine,36.3411,6.6222,8.5,15.2,2.1,25.7,1.4,1.6,10 cm
1013,,36.7172,4.0519,7.96,35.13,1.42,12.25,0.42,1.42,0-20 cm
1014,Bejaea,36.75,5.07,,,,,,,
1015,Bejaea,36.75,5.05,8.15,23.45,1.45,12.65,0.65,1.65,2.5 m
1016,Tiaret,35.3875,1.6333,7.8,120,1.5,20,0.2,1.6,0-20 cm
1018,,36.533333,4.05,7.82,28.5,5.2,35.4,202,1.46,0-20 cm
1019,Jijel,36.783333,5.783333,,,,,,,"{'6 m': ['port de la Condamine e Monaco (France)', 'port de Bejaea'], '14 m': ['port de Djen Djen Jijel'], '11 m': ['Rhin (Dhouib et Liausu, 2005)'], '8 m': ['sableux de 8 m deepaisseur dont 6 m sous le niveau de mer']}"
1020,Tipaza,36.58,2.45,8.5,350,2.5,15,0.25,1.6,0-20 cm
1021,,36.7167,4.05,8.2,220,2.1,12,1.3,1.5,0-20 cm
1022,,36.72,4.05,8.3,32.1,1.8,14.6,0.15,1.35,0.6 m
1023,Bejaea,36.75,5.05,8.3,17.4,2.4,12.3,0.38,1.45,4.50 m
1024,Guelma,36.4583,7.4333,7.8,23.4,1.9,15.6,1000,1.7,0-20 cm
1027,,36.7167,4.05,7.2,5.2,3.5,25,1200,1.8,0-20 cm
1032,Bejaea,36.753342,5.080949,7.4,35.2,2.43,14.8,0.42,1.73,0-50 cm
1033,Bejaea,,,,,,,,,"{'40m': {'Cc': 0.137, 'Ip': 32}, '49m': {'Cc': 0.287}}"
1034,Bechar,31.62,2.23,,,,,,,40 m
1035,Bejaea,,,,,,,,,50
1036,Algiers,36.7642,3.0503,7.5,99.08,19.88,10.05,39,17.5,"5,20-5,90 m"
1037,,35.3833,0.5833,,,0.31,,,13.6,"5,20-5,90"
1038,,35.3974,1.4181,,,,,,,40 m
1039,Tlemcen,34.8808,,,,,,,,
1040,Bejaea,,,,,,,,,39
1041,,36.7167,4.05,7.3,20.7,11,10.3,334,18.8,7.30-7.50
1042,Relizane,35.733333,0.566667,,,0.41,,,,7.30-7.50
1043,,36.7167,4.05,0.46,201.17,208.37,460.11,395.55,365.41,0-3.00 m
1045,Biskra,34.85,5.73,,,1.3,,,,"8.80-9.30, 17.60-17.90"
1046,Bejaea,,,,,,,,,1-3 m
1047,,36.76,3.47,7.8,10,2.5,20,1500,1.5,0.5 - 1.5 m
1048,Bejaea,36.7669,5.0663,,,,,,,
1049,Sidi Bel Abbes,35.1833,0.6333,7.5,0.954,0.12,21.947,0.125,1.291,4
1052,Setif,36.1833,5.41667,,,,,,,various depths (not specified)
1053,,36.7167,4.05,7.4,5746,2.56,21.2,0.474,1.8,20.00
1055,Bejaea,36.7547,5.0664,7.4,23,4.2,24,0.55,1.4,30 m
1056,,36.7167,4.0333,7.4,10.2,2.1,15.6,0.42,1.65,0-0.5m
1057,,36.75,5.08,7.45,18.5,1.82,12.8,345,1.75,0.5-2.5m
1060,Tiaret,35.3833,1.1333,8.4,22,1.8,15,0.4,1.6,1-3m
1061,,36.7167,4.05,7.95,12.2,3.5,12.4,0.23,1.6,0-20 cm
1062,Bejaea,36.75,5.05,7.5,20.4,3.2,15.9,0.32,1.65,0-20 cm
1064,,36.75,5.05,7.5,21.4,2.41,14.5,1.24,1.65,0-20 cm
1065,Bejaea,36.75,5.05,8.2,35.6,3.4,24.6,450,1.55,1.5
1066,Bejaea,,,,,,,,,0.00 e 18.00m
1067,,36.75,5.05,7.2,22.5,2.1,23.1,120,1.6, entre 1 et 6 m
1069,Bejaea,36.75,5.06,,,,,,,2-48m
1070,Bejaea,36.75,5.05,,,0,,,,47-51m
1072,,36.75,5.05,7.48,17.4,2.15,27.2,1.38,1.83,8-10m
1074,Ain Temouchent,35.4567,-1.1345,7.5,250,3.2,20,0.5,1.6,2
1075,,36.72,4.05,7.5,12.5,3.4,18.5,1.4,2.65,0.5-1.5
1076,Tlemcen,34.89,1.31,8.2,200,2.5,15,0.14,1.4,0-20
1077,,36.77694,3.05222,8.12,12.5,2.5,15,250,1.6,0-30 cm
1080,Algiers,36.7833,3.05,7.2,5.5,3.2,15.6,0.23,1.45,50 cm
1081,Bejaea,36.75,5.05,7.3,14.5,3.1,12.2,350,1.65,0-40m
1083,,36.75,5.08,,,,,,,0.0-3.5
1086,Medea,36.2667,2.75,8.81,185,0.2,26.42,41.7,0.171,1.00-10.00 m
1087,Tiaret,,,7.25,28.8,0.88,2.14,0.11,1.44,3.00/10.00
1088,Tipaza,36.5667,2.45,8.0,38.0,2.4,41.67,100.0,1.8,15.00 m
1089,Annaba,36.8333,7.75,0,0,0,0,0,0,15.00 m
1090,Batna,35.5556,6.1667,,,,,,,15.00 m
1092,Bejaea,36.75,5.05,7.5,20.4,2.1,7.3,0.4,1.65,0-20 cm
1093,,36.5333,4.05,7.8,35.6,2.1,21.4,0.23,1.35,0-20 cm
1094,,36.7167,4.05,7.5,30,2.5,20,0.5,1.5,0-30 cm
1095,,36.717333,4.05,7.2,24.5,2.5,15.2,120,1.35,0-20 cm
1096,Tizi-Ouzou,36.7167,4.05,7.38,12.6,2.5,21.5,0.35,1.35,0-30 cm
1099,,36.7667,3.4667,7.4,20.8,2.15,14.2,0.43,1.35,0-20 cm
1100,Tizi-Ouzou,,,,,,,,,
1101,,36.7667,3.4667,6.2,33.6,2.5,18.2,0.35,1.45,0-30 cm
1102,Tizi-Ouzou,,,7.5,,,,,,
1107,,36.7333,4.05,6.39,0,3.56,18.5,0,0,surface and Bt1/Bt2 profiles
1109,Bejaea,36.75,5.05,,,,"{'profil 1 et 2': 12.25, 'profil 3 et 4': 32.66, 'profil 5': 27}",,,
1110,Tiaret,35.3833,2.1333,7.55,85.7,4.3,1.21,0.29,1.55,S2H1 (Surface)
1111,,36.7667,3.5333,,,,15.2,,,surface
1112,,36.6333,4.1333,7.22,30,5,10,10,1.45,0-20cm
1113,,36.7233,4.0514,7.5,20.5,3.2,15.1,0.5,1.6,0-20 cm
1114,,36.7167,4.05,7.5,25,2.5,20,0.35,1.35,0-20 cm
1115,,36.7167,4.05,,,,,,,
1117,Tiaret,35.2167,2.6333,8.4,34.1,1.37,15.8,1.35,1.45,0-90 cm
1118,,35.212222,4.174444,7.83,23.4,1.42,24.8,0.65,1.42,0-90 cm
1119,Tiaret,35.3833,1.85,8.1,23.4,1.4,15.2,2.5,1.6,0-20 cm
1123,,35.53,4.55,7.83,34.45,1.15,14.23,2.15,1.42,150 cm
1124,Mostaganem,35.9333,0.1333,8.2,143.5,1.23,15.6,124.5,1.45,150 cm
1127,Tebessa,35.35,4.53,"[8.3, 8.6, 8.6, 8.6]","[2.3, 2.4, 4.4, 3.2]","[24.64, 23.47, 27.67, 17.67]",[],"[4.7, 5.7, 4.2, 2.9]",[],"[0, 30, 48, 72]"
1128,,34.83,0.15,7.4,2.5,1.3,7.4,4.2,1.5,150 cm
1130,Constantine,36.3651,6.6127,8.55,87.24,5.19,22.21,49,1.34,0 - 30
1131,,32.392216,3.795278,7.8,34,1.5,24,176,1.4,"{'0 - 30': {}, '30- 60': {}, '60 - 90': {}, '90 - 120': {}, '120 - 150': {}}"
1132,,36.72,4.05,7.3,12.4,1.7,24.1,0.42,1.35,0 - 30
1133,,36.7167,4.05,,,,,,,"{'0-30': {}, '30-60': {}, '60-90': {}, '90-120': {}, '120-150': {}}"
1134,,36.72,4.05,7.3,32,13,20,35,27,0-30
1135,,35.4333,8.0667,,,,,"{'avg': 43.2, 'min': 5.5, 'max': 75.4}",,"{'0 - 30': None, '30- 60': None, '60 - 90': None, '90 - 120': None, '120 - 150': None}"
1136,,33.433333,6.866667,7.77,39.3,1.42,46.35,49.47,1.61,0 - 30
1137,,34.8833,,8.5,4,,,4.96-55.76 dS/m,,
1138,,31.95,5.33,,,,,5.32,,1
1139,Tiaret,35.383333,2.433333,8.2,13.8,1.1,22.5,1.19,1.42,0-150 cm
1140,Tlemcen,34.8853,,,,,,50,,not specified
1142,El-Hodna,34.8833,5.7167,7.83,18.25,1.15,15.32,1.21,1.48,0-90 cm and 0-150 cm
1145,Tiaret,35.3843,1.7947,8.52,2.48,21.99,2.47,2.21,1.71,not provided
